S.No,Group No,Group,Name of Cement Company,Year,Plant Status,Unit,Location,Latitude,Longitude,Zone,State,Line #,Clinker Guaranteed Capacity (TPD),Clinker Present Capacity (i.e. Operating) (TPD),Clinker Potential Capacity (TPD),"Kiln
D x L",Pyro Supplier,Clinker Present Capacity (i.e. Operating) @ 330 Days (MTPA),Cement Production (MTPA) @ 1.36 Factor @ Present Operating Clinker Capacity @ 330 Days,Cement Mill Supplier,Cement Mill Model,Guaranteed Capacity,Guaranteed / Operating Capacity (PPC),Cement Production @ 330 x 21 Hours (MTPA),Cement Production @ 345 x 22 Hours (MTPA)
246,7,Chettinad Cement,Anjani Cement,2008,EXISTING,IU,Nalgonda,16.766747,80.013363,South,Telangana,Line-2,1500,1500,1500,3.2 x 48,WIL,0.50,0.67,WIL (2010),BM 3.8 x 13 m,80 TPH OPC @ 3000 Blaine, 98 , 0.7 , 0.7 
247,7,Chettinad Cement,Chettinad Cement Corporation,2017,Progress,IU,Dachepally,16.561457,79.759771,South,Andhra Pradesh,Line-1,7000,7000,8000,5.2 x 78,KHD,2.31,3.14,KHD (2017),RP - 16 + BM (4.2 x 14 m),"250 TPH OPC @ 3000 Blaine
275 TPH PPC @ 3600 Blaine @ 30% Flyash", 275 , 1.9 , 2.1 
248,7,Chettinad Cement,Chettinad Cement Corporation,2017,Progress,IU,Kallur,17.370194,77.446378,South,Karnataka,Line-2,7000,7000,8000,5.2 x 78,KHD,2.31,3.14,KHD (2017),RP - 16 + BM (4.2 x 14 m),"250 TPH OPC @ 3000 Blaine
275 TPH PPC @ 3600 Blaine @ 30% Flyash", 275 , 1.9 , 2.1 
249,7,Chettinad Cement,Chettinad,2015,EXISTING,GU,Sholapur,17.529732,76.040295,West,Maharashtra,Line-1,,,,,,,,FLS,BM - 5 x 14 m,150, 150 , 1.0 , 1.1 
250,11,Heidelberg,Heidelberg Cement(Mysore Cement),1985,EXISTING,IU,Ammasandra,13.269837,76.722449,South,Karnataka,Line-3,1600,1600,1600,3.7 x 54,"KHD
(Upgraded in 1985)",0.53,0.72,"WIL (1980)
KHD (1986)
Loesche","BM 3.8 x 12.5 m
BM 4 x 13 m (2 x 1500kW)
LM 53.3 + 3 CS","65 TPH OPC @ 3000 Blaine
90 TPH OPC
215 TPH PPC", 393 , 2.7 , 3.0 
251,11,Heidelberg,Heidelberg Cement (Diamond Cement),1980,EXISTING,IU,Damoh,23.990464,79.392939,Centre,Madhya Pradesh,Line-1,1500,1600,1800,3.8 x 50,KHD,0.53,0.72,"WIL (1980)
KHD (1986)
Loesche",BM 4 x 14 m (2 x 1500 kW),90 TPH, 90 , 0.6 , 0.7 
252,11,Heidelberg,Heidelberg Cement (Diamond Cement),1985,EXISTING,IU,Damoh,23.990636,79.393164,Centre,Madhya Pradesh,Line-2,1500,5000,5000,4.0 x54,KHD,1.65,2.24,KHD (1991),"RP 115/100 + 
BM 4.0 m Ø x 13.0 m",125 tph OPC, 144 , 1.0 , 1.1 
253,11,Heidelberg,Heidelberg Cement,2010,EXISTING,IU,Damoh,23.989754,79.391829,Centre,Madhya Pradesh,Line-2,5000,5000,6000,4.75 x 74,FLS,1.65,2.24,FLS (2010),BM - 4.2 x 11.5 m (2900kW),85, 85 , 0.6 , 0.6 
254,11,Heidelberg,Zuari Cement (Heidelberg),1996,EXISTING,IU,Krishna Nagar (Yeraguntalla),14.60566,78.522156,South,Andhra Pradesh,Line-1,5200,5500,5500,4.55 x 68,FLS,1.82,2.47,FLS (1996),2 x BM - 4.2 x 13.5 m (2 x 2000kW),120 TPH OPC @ 2800 Blaine, 220 , 1.5 , 1.7 
255,11,Heidelberg,Zuari Cement (Heidelberg),2006,EXISTING,IU,Krishna Nagar (Yeraguntalla),14.607021,78.523513,South,Andhra Pradesh,Line-2,5500,5800,6200,4.75 x 74,FLS,1.91,2.60,"FLS (2006)
WIL (2011)",OK-36.4 (3750kW) @170 TPH OPC @ 3200,190 TPH @ 2800 Blaine, 320 , 2.2 , 2.4 
